order_id,order_date,customer_id,product_name,category,price_per_kg,quantity_kg,total_price,payment_method,city,delivery_status
1024,2024-04-17,2053,Almonds,Dried Fruits,361.62,0.51,184.43,Credit Card,Manila,Pending
1025,2024-01-30,2235,Dried Mango,Dried Fruits,455.49,1.28,583.03,Credit Card,Manila,Pending
1026,2024-02-07,2388,Dried Mango,Nuts,1146.64,1.03,1181.04,GCash,Batangas,Pending
1027,2024-01-02,2989,Raisins,Dried Fruits,760.18,2.52,1915.65,Credit Card,Batangas,Pending
1028,2024-03-04,2733,Dates,Dried Fruits,950.73,3.26,3099.38,Credit Card,Quezon City,Delivered
1029,2024-02-29,2762,Almonds,Nuts,757.98,1.46,1106.65,Cash on Delivery,Cavite,Cancelled
1030,2024-01-21,2824,Pistachios,Dried Fruits,752.51,4.73,3559.37,Credit Card,Laguna,Delivered
1031,2024-02-02,2400,Almonds,Nuts,294.15,0.53,155.9,GCash,Laguna,Delivered
1032,2024-03-16,2623,Walnuts,Dried Fruits,543.66,3.98,2163.77,Cash on Delivery,Laguna,Delivered
1033,2024-02-27,2766,Dates,Nuts,482.43,3.31,1596.84,Cash on Delivery,Manila,Delivered
1034,2024-01-22,2302,Pistachios,Dried Fruits,590.73,2.18,1287.79,GCash,Batangas,Delivered
1035,2024-04-17,2918,Dried Apricot,Dried Fruits,998.34,0.73,728.79,Cash on Delivery,Cavite,Pending
1036,2024-03-29,2206,Pistachios,Nuts,571.93,3.32,1898.81,Cash on Delivery,Manila,Pending
1037,2024-02-18,2228,Cashews,Nuts,651.7,2.24,1459.81,Cash on Delivery,Batangas,Cancelled
1038,2024-03-31,2852,Raisins,Dried Fruits,597.38,4.71,2813.66,Cash on Delivery,Batangas,Delivered
1039,2024-02-28,2909,Cashews,Nuts,293.41,2.94,862.63,GCash,Cavite,Cancelled
1040,2024-02-11,2577,Pistachios,Nuts,641.07,4.73,3032.26,GCash,Cavite,Pending
1041,2024-04-01,2074,Dates,Nuts,395.61,1.49,589.46,Cash on Delivery,Cavite,Pending
1042,2024-02-29,2434,Almonds,Nuts,386.72,3.77,1457.93,Cash on Delivery,Manila,Pending
1043,2024-03-20,2102,Dried Apricot,Dried Fruits,294.04,3.28,964.45,GCash,Quezon City,Delivered
1044,2024-01-15,2421,Almonds,Dried Fruits,556.67,3.83,2132.05,GCash,Cavite,Delivered
1045,2024-03-02,2703,Dates,Nuts,957.48,1.47,1407.5,GCash,Quezon City,Pending
1046,2024-03-02,2763,Pistachios,Nuts,476.44,3.49,1662.78,Cash on Delivery,Manila,Cancelled
1047,2024-02-16,2737,Dried Mango,Nuts,512.35,2.74,1403.84,Cash on Delivery,Quezon City,Cancelled
1048,2024-03-02,2805,Almonds,Nuts,842.67,3.84,3235.85,Credit Card,Laguna,Pending
1049,2024-02-20,2305,Dried Mango,Dried Fruits,395.84,1.97,779.8,GCash,Quezon City,Cancelled
1050,2024-04-17,2097,Almonds,Dried Fruits,1096.96,4.51,4947.29,Cash on Delivery,Cavite,Pending
1051,2024-02-24,2849,Almonds,Nuts,720.19,0.88,633.77,GCash,Manila,Cancelled
1052,2024-04-25,2797,Dried Apricot,Nuts,647.6,4.13,2674.59,Cash on Delivery,Cavite,Pending
1053,2024-03-04,2334,Raisins,Nuts,757.82,4.38,3319.25,GCash,Laguna,Cancelled
1054,2024-01-03,2858,Raisins,Dried Fruits,366.03,4.18,1530.01,Cash on Delivery,Cavite,Delivered
1055,2024-04-10,2434,Walnuts,Nuts,813.47,2.81,2285.85,Credit Card,Cavite,Pending
1056,2024-02-20,2446,Cashews,Dried Fruits,563.1,2.47,1390.86,Credit Card,Cavite,Pending
1057,2024-01-07,2993,Dates,Nuts,1097.19,4.98,5464.01,GCash,Batangas,Cancelled
1058,2024-01-21,2307,Dates,Dried Fruits,368.85,1.53,564.34,Cash on Delivery,Laguna,Pending
1059,2024-03-13,2248,Dates,Nuts,707.05,2.96,2092.87,Cash on Delivery,Cavite,Pending
1060,2024-02-08,2165,Walnuts,Dried Fruits,798.11,3.52,2809.35,GCash,Cavite,Pending
1061,2024-01-18,2480,Raisins,Nuts,233.38,3.65,851.84,Cash on Delivery,Cavite,Delivered
1062,2024-01-04,2983,Pistachios,Nuts,563.69,1.42,800.44,GCash,Manila,Delivered
1063,2024-03-29,2334,Dried Mango,Nuts,932.64,3.44,3208.28,Cash on Delivery,Batangas,Cancelled
1064,2024-02-29,2541,Dried Apricot,Dried Fruits,1020.38,4.18,4265.19,GCash,Manila,Delivered
1065,2024-01-14,2758,Dried Mango,Nuts,513.16,0.73,374.61,Cash on Delivery,Batangas,Cancelled
1066,2024-04-23,2105,Pistachios,Dried Fruits,998.59,4.6,4593.51,GCash,Cavite,Delivered
1067,2024-01-09,2562,Dried Apricot,Dried Fruits,1167.76,0.63,735.69,Cash on Delivery,Laguna,Cancelled
1068,2024-03-30,2080,Walnuts,Nuts,1056.87,2.1,2219.43,Credit Card,Quezon City,Delivered
1069,2024-02-22,2132,Pistachios,Nuts,317.64,0.57,181.05,Cash on Delivery,Quezon City,Delivered
1070,2024-01-02,2796,Dates,Nuts,939.73,0.85,798.77,GCash,Cavite,Cancelled
1071,2024-03-24,2899,Cashews,Dried Fruits,519.67,4.6,2390.48,Credit Card,Manila,Pending
1072,2024-04-01,2137,Almonds,Nuts,1188.42,2.1,2495.68,Cash on Delivery,Laguna,Pending
1073,2024-04-20,2183,Dried Mango,Dried Fruits,685.36,2.41,1651.72,Credit Card,Batangas,Delivered
1074,2024-02-29,2400,Raisins,Dried Fruits,322.43,1.47,473.97,Cash on Delivery,Cavite,Cancelled
1075,2024-03-11,2329,Raisins,Nuts,925.19,3.19,2951.36,Credit Card,Laguna,Pending
1076,2024-02-13,2784,Walnuts,Nuts,523.01,3.18,1663.17,GCash,Laguna,Cancelled
1077,2024-01-08,2507,Dried Apricot,Nuts,1197.08,2.17,2597.66,Cash on Delivery,Batangas,Pending
1078,2024-02-16,2851,Raisins,Nuts,1179.78,2.0,2359.56,Cash on Delivery,Laguna,Cancelled
1079,2024-02-04,2983,Dates,Nuts,856.13,4.48,3835.46,GCash,Manila,Delivered
1080,2024-03-18,2068,Dried Mango,Nuts,329.83,2.22,732.22,Credit Card,Manila,Cancelled
1081,2024-03-21,2545,Pistachios,Dried Fruits,886.86,2.72,2412.26,GCash,Manila,Pending
1082,2024-02-05,2773,Dates,Dried Fruits,293.03,1.77,518.66,GCash,Laguna,Delivered
1083,2024-02-19,2052,Walnuts,Dried Fruits,229.36,4.04,926.61,Credit Card,Manila,Cancelled
1084,2024-04-13,2449,Dates,Nuts,1022.96,2.29,2342.58,GCash,Batangas,Pending
1085,2024-01-04,2204,Pistachios,Dried Fruits,409.75,2.81,1151.4,Cash on Delivery,Laguna,Delivered
1086,2024-01-02,2125,Cashews,Dried Fruits,579.03,1.64,949.61,Cash on Delivery,Quezon City,Cancelled
1087,2024-01-06,2746,Walnuts,Dried Fruits,1173.46,4.94,5796.89,Cash on Delivery,Laguna,Pending
1088,2024-02-23,2042,Cashews,Dried Fruits,536.84,1.81,971.68,GCash,Batangas,Cancelled
1089,2024-04-15,2751,Almonds,Dried Fruits,496.49,3.97,1971.07,Cash on Delivery,Quezon City,Cancelled
1090,2024-01-04,2970,Cashews,Nuts,1118.21,2.42,2706.07,Cash on Delivery,Laguna,Delivered
1091,2024-02-23,2882,Almonds,Nuts,310.75,1.43,444.37,Cash on Delivery,Manila,Delivered
1092,2024-04-02,2110,Almonds,Dried Fruits,959.58,4.1,3934.28,Cash on Delivery,Cavite,Pending
1093,2024-03-03,2760,Cashews,Dried Fruits,1188.07,2.0,2376.14,Cash on Delivery,Cavite,Delivered
1094,2024-01-18,2662,Walnuts,Dried Fruits,1101.3,4.39,4834.71,Cash on Delivery,Manila,Pending
1095,2024-03-30,2182,Dried Apricot,Nuts,851.67,4.62,3934.72,GCash,Cavite,Cancelled
1096,2024-02-13,2847,Pistachios,Nuts,514.06,4.37,2246.44,Cash on Delivery,Cavite,Cancelled
1097,2024-02-03,2094,Dates,Dried Fruits,454.32,0.66,299.85,Cash on Delivery,Manila,Pending
1098,2024-03-14,2970,Dates,Nuts,1019.26,4.04,4117.81,Credit Card,Manila,Cancelled
1099,2024-03-02,2373,Pistachios,Nuts,1079.82,2.35,2537.58,GCash,Laguna,Delivered
1100,2024-04-09,2911,Dried Mango,Dried Fruits,725.43,4.43,3213.65,GCash,Laguna,Cancelled
1101,2024-01-14,2519,Dried Mango,Nuts,444.34,3.37,1497.43,GCash,Manila,Delivered
1102,2024-04-04,2899,Almonds,Nuts,312.94,4.25,1330.0,GCash,Batangas,Pending
1103,2024-02-17,2359,Almonds,Dried Fruits,287.18,2.75,789.74,Cash on Delivery,Cavite,Pending
1104,2024-01-15,2899,Walnuts,Nuts,919.08,2.91,2674.52,Cash on Delivery,Laguna,Cancelled
1105,2024-03-12,2695,Raisins,Nuts,620.12,1.15,713.14,Credit Card,Cavite,Cancelled
1106,2024-03-18,2280,Cashews,Dried Fruits,1105.36,4.03,4454.6,Credit Card,Quezon City,Delivered
1107,2024-03-27,2194,Almonds,Nuts,939.67,2.39,2245.81,GCash,Manila,Delivered
1108,2024-03-02,2863,Dates,Nuts,391.26,2.75,1075.96,Credit Card,Batangas,Cancelled
1109,2024-02-09,2194,Walnuts,Dried Fruits,813.78,4.03,3279.53,Credit Card,Quezon City,Cancelled
1110,2024-03-25,2666,Cashews,Dried Fruits,635.51,3.19,2027.28,GCash,Quezon City,Pending
1111,2024-03-20,2092,Walnuts,Dried Fruits,777.25,1.4,1088.15,GCash,Quezon City,Pending
1112,2024-04-18,2671,Cashews,Nuts,938.07,3.16,2964.3,Credit Card,Manila,Pending
1113,2024-03-22,2945,Cashews,Dried Fruits,1006.2,2.33,2344.45,Cash on Delivery,Laguna,Cancelled
1114,2024-04-20,2060,Pistachios,Nuts,1043.74,2.61,2724.16,Credit Card,Manila,Cancelled
1115,2024-02-22,2633,Almonds,Dried Fruits,453.97,0.63,286.0,Credit Card,Laguna,Cancelled
1116,2024-01-24,2050,Dried Apricot,Nuts,231.12,1.45,335.12,Cash on Delivery,Quezon City,Pending
1117,2024-01-26,2402,Walnuts,Dried Fruits,939.29,1.76,1653.15,Cash on Delivery,Quezon City,Cancelled
1118,2024-03-29,2788,Dried Apricot,Dried Fruits,306.34,3.71,1136.52,GCash,Batangas,Delivered
1119,2024-02-29,2004,Walnuts,Dried Fruits,514.92,0.55,283.21,GCash,Laguna,Cancelled
1120,2024-04-18,2465,Pistachios,Dried Fruits,203.82,2.34,476.94,Credit Card,Quezon City,Cancelled
1121,2024-02-10,2603,Dates,Nuts,881.67,4.66,4108.58,Cash on Delivery,Cavite,Cancelled
1122,2024-01-29,2681,Dried Apricot,Dried Fruits,367.13,1.0,367.13,GCash,Batangas,Cancelled
1123,2024-01-15,2828,Dates,Dried Fruits,855.28,2.82,2411.89,Credit Card,Manila,Cancelled
1124,2024-02-14,2533,Dried Mango,Nuts,1191.74,4.04,4814.63,Cash on Delivery,Batangas,Delivered
1125,2024-03-05,2404,Almonds,Dried Fruits,272.67,4.74,1292.46,Credit Card,Cavite,Delivered
1126,2024-03-29,2837,Almonds,Nuts,277.08,3.86,1069.53,GCash,Laguna,Cancelled
1127,2024-03-11,2512,Raisins,Dried Fruits,540.38,3.74,2021.02,GCash,Manila,Pending
1128,2024-01-09,2644,Pistachios,Dried Fruits,1066.39,4.22,4500.17,Cash on Delivery,Manila,Cancelled
1129,2024-03-28,2232,Dates,Dried Fruits,415.53,2.51,1042.98,Credit Card,Laguna,Cancelled
1130,2024-01-01,2523,Cashews,Nuts,560.38,4.13,2314.37,Cash on Delivery,Batangas,Cancelled
1131,2024-04-17,2345,Walnuts,Dried Fruits,268.51,0.54,145.0,GCash,Quezon City,Pending
1132,2024-01-08,2045,Almonds,Dried Fruits,963.16,4.66,4488.33,GCash,Batangas,Pending
1133,2024-03-28,2545,Dried Apricot,Dried Fruits,608.31,2.49,1514.69,Credit Card,Cavite,Pending
1134,2024-03-03,2944,Walnuts,Nuts,959.25,2.99,2868.16,Credit Card,Quezon City,Delivered
1135,2024-01-11,2077,Walnuts,Nuts,1103.61,1.65,1820.96,Credit Card,Batangas,Pending
1136,2024-04-24,2729,Raisins,Dried Fruits,432.76,3.84,1661.8,Cash on Delivery,Laguna,Delivered
1137,2024-03-21,2812,Dates,Nuts,1007.4,0.84,846.22,Credit Card,Cavite,Delivered
1138,2024-01-08,2922,Almonds,Dried Fruits,259.09,4.43,1147.77,Credit Card,Cavite,Pending
1139,2024-02-04,2072,Walnuts,Dried Fruits,1098.85,4.23,4648.14,GCash,Cavite,Pending
1140,2024-02-04,2793,Almonds,Dried Fruits,850.77,1.47,1250.63,GCash,Quezon City,Pending
1141,2024-02-02,2248,Cashews,Dried Fruits,1074.23,4.14,4447.31,Credit Card,Manila,Delivered
1142,2024-01-05,2046,Raisins,Dried Fruits,200.19,4.04,808.77,Credit Card,Quezon City,Cancelled
1143,2024-04-15,2120,Cashews,Dried Fruits,369.08,3.34,1232.73,GCash,Batangas,Pending
1144,2024-04-12,2213,Almonds,Dried Fruits,589.76,2.18,1285.68,Credit Card,Manila,Pending
1145,2024-02-10,2238,Dried Mango,Nuts,579.5,1.72,996.74,Cash on Delivery,Batangas,Pending
1146,2024-01-28,2055,Dried Apricot,Nuts,426.73,1.54,657.16,Cash on Delivery,Manila,Delivered
1147,2024-01-07,2349,Almonds,Nuts,581.61,1.93,1122.51,Cash on Delivery,Quezon City,Delivered
1148,2024-03-13,2106,Dates,Nuts,328.85,4.57,1502.84,Credit Card,Cavite,Cancelled
1149,2024-03-12,2830,Walnuts,Nuts,612.76,0.85,520.85,GCash,Laguna,Pending
1150,2024-01-12,2047,Walnuts,Nuts,1002.35,4.23,4239.94,Credit Card,Cavite,Delivered
1151,2024-02-03,2572,Cashews,Nuts,679.07,2.07,1405.67,Credit Card,Quezon City,Cancelled
1152,2024-02-02,2336,Dried Apricot,Dried Fruits,218.0,2.85,621.3,GCash,Manila,Pending
1153,2024-02-17,2025,Raisins,Dried Fruits,621.44,4.08,2535.48,GCash,Cavite,Delivered
1154,2024-04-28,2803,Dried Mango,Dried Fruits,227.18,4.48,1017.77,GCash,Quezon City,Pending
1155,2024-01-23,2256,Pistachios,Dried Fruits,1166.24,2.05,2390.79,Cash on Delivery,Batangas,Pending
1156,2024-03-02,2007,Dried Apricot,Nuts,327.45,2.58,844.82,Credit Card,Laguna,Delivered
1157,2024-03-28,2624,Walnuts,Nuts,907.69,2.37,2151.23,GCash,Cavite,Delivered
1158,2024-02-06,2866,Dates,Dried Fruits,1172.78,0.56,656.76,Credit Card,Manila,Delivered
1159,2024-04-08,2252,Dried Apricot,Dried Fruits,1026.04,1.83,1877.65,Cash on Delivery,Batangas,Pending
1160,2024-02-13,2691,Cashews,Nuts,899.32,2.57,2311.25,Cash on Delivery,Quezon City,Pending
1161,2024-04-13,2718,Cashews,Dried Fruits,1039.46,2.35,2442.73,GCash,Laguna,Cancelled
1162,2024-03-26,2302,Pistachios,Dried Fruits,1181.8,3.75,4431.75,GCash,Manila,Pending
1163,2024-03-31,2638,Dates,Dried Fruits,821.34,2.23,1831.59,Credit Card,Quezon City,Delivered
1164,2024-02-04,2055,Raisins,Dried Fruits,759.18,2.7,2049.79,GCash,Quezon City,Pending
1165,2024-03-05,2725,Dried Apricot,Nuts,828.24,2.43,2012.62,Credit Card,Cavite,Cancelled
1166,2024-04-08,2525,Dates,Dried Fruits,732.68,3.83,2806.16,GCash,Cavite,Cancelled
1167,2024-04-10,2473,Raisins,Dried Fruits,835.09,4.38,3657.69,Credit Card,Manila,Delivered
1168,2024-02-16,2027,Dates,Nuts,649.84,2.89,1878.04,Credit Card,Quezon City,Delivered
1169,2024-03-18,2982,Dates,Nuts,418.44,4.05,1694.68,Credit Card,Cavite,Cancelled
1170,2024-01-03,2077,Almonds,Dried Fruits,320.25,1.84,589.26,Credit Card,Laguna,Cancelled
1171,2024-01-01,2215,Cashews,Nuts,268.34,2.94,788.92,Cash on Delivery,Laguna,Cancelled
1172,2024-01-05,2385,Dried Apricot,Dried Fruits,463.32,2.05,949.81,Credit Card,Quezon City,Delivered
1173,2024-03-30,2364,Dates,Dried Fruits,246.12,2.36,580.84,GCash,Cavite,Cancelled
1174,2024-04-28,2665,Dried Apricot,Nuts,767.17,3.8,2915.25,Cash on Delivery,Manila,Cancelled
1175,2024-01-14,2525,Pistachios,Dried Fruits,483.83,4.47,2162.72,Cash on Delivery,Manila,Delivered
1176,2024-04-12,2698,Dates,Dried Fruits,1024.53,1.05,1075.76,Credit Card,Manila,Pending
1177,2024-01-27,2311,Walnuts,Dried Fruits,274.24,3.36,921.45,Cash on Delivery,Laguna,Pending
1178,2024-01-09,2882,Cashews,Dried Fruits,426.35,3.12,1330.21,Credit Card,Cavite,Cancelled
1179,2024-03-19,2006,Walnuts,Nuts,930.25,1.03,958.16,GCash,Cavite,Pending
1180,2024-01-15,2002,Dried Apricot,Nuts,798.81,1.45,1158.27,Credit Card,Laguna,Pending
1181,2024-03-30,2622,Dried Apricot,Dried Fruits,264.49,1.9,502.53,Cash on Delivery,Manila,Pending
1182,2024-02-11,2918,Cashews,Nuts,1077.24,1.25,1346.55,GCash,Manila,Pending
1183,2024-03-17,2749,Dried Apricot,Dried Fruits,1077.26,1.6,1723.62,Credit Card,Quezon City,Cancelled
1184,2024-02-20,2362,Walnuts,Dried Fruits,530.41,1.7,901.7,GCash,Batangas,Pending
1185,2024-03-03,2750,Dates,Dried Fruits,540.41,2.01,1086.22,GCash,Cavite,Pending
1186,2024-04-05,2507,Dates,Dried Fruits,1189.03,3.87,4601.55,Cash on Delivery,Cavite,Delivered
1187,2024-04-12,2273,Almonds,Dried Fruits,826.18,3.07,2536.37,GCash,Cavite,Cancelled
1188,2024-04-22,2505,Pistachios,Nuts,731.32,4.94,3612.72,Cash on Delivery,Batangas,Delivered
1189,2024-02-21,2805,Dried Apricot,Dried Fruits,1038.15,2.37,2460.42,GCash,Quezon City,Delivered
1190,2024-04-05,2738,Walnuts,Nuts,485.29,3.89,1887.78,Credit Card,Batangas,Cancelled
1191,2024-01-04,2882,Dried Apricot,Nuts,629.18,4.42,2780.98,GCash,Manila,Pending
1192,2024-04-03,2014,Dried Apricot,Dried Fruits,467.78,3.56,1665.3,Credit Card,Manila,Delivered
1193,2024-04-10,2191,Raisins,Dried Fruits,989.16,2.35,2324.53,Credit Card,Cavite,Cancelled
1194,2024-01-23,2984,Almonds,Dried Fruits,773.35,3.89,3008.33,GCash,Laguna,Pending
1195,2024-04-12,2630,Walnuts,Dried Fruits,858.83,1.42,1219.54,Credit Card,Cavite,Cancelled
1196,2024-04-18,2484,Walnuts,Dried Fruits,452.31,1.97,891.05,GCash,Laguna,Delivered
1197,2024-01-15,2027,Dried Apricot,Nuts,420.23,2.96,1243.88,GCash,Batangas,Pending
1198,2024-02-12,2713,Almonds,Dried Fruits,688.37,3.09,2127.06,Credit Card,Manila,Pending
1199,2024-01-29,2038,Dates,Dried Fruits,937.57,0.6,562.54,Credit Card,Laguna,Cancelled
1200,2024-02-05,2952,Walnuts,Nuts,725.24,4.75,3444.89,Cash on Delivery,Batangas,Pending
1201,2024-01-13,2272,Dates,Nuts,232.65,3.63,844.52,Credit Card,Manila,Delivered
1202,2024-02-01,2230,Almonds,Dried Fruits,1068.55,2.73,2917.14,Cash on Delivery,Laguna,Delivered
1203,2024-03-11,2085,Dates,Nuts,264.69,4.7,1244.04,Credit Card,Cavite,Delivered
1204,2024-02-28,2473,Cashews,Dried Fruits,1155.82,2.48,2866.43,GCash,Cavite,Cancelled
1205,2024-04-24,2125,Raisins,Nuts,225.14,4.91,1105.44,Credit Card,Cavite,Pending
1206,2024-03-26,2811,Dried Mango,Nuts,894.45,2.81,2513.4,GCash,Batangas,Pending
1207,2024-01-28,2536,Walnuts,Dried Fruits,282.21,1.01,285.03,GCash,Cavite,Pending
1208,2024-03-06,2144,Pistachios,Nuts,1110.68,3.94,4376.08,GCash,Quezon City,Delivered
1209,2024-02-11,2524,Raisins,Nuts,664.43,3.56,2365.37,Cash on Delivery,Manila,Pending
1210,2024-02-14,2211,Dried Mango,Nuts,337.52,3.98,1343.33,Credit Card,Batangas,Delivered
1211,2024-03-02,2024,Dates,Nuts,540.82,4.78,2585.12,GCash,Cavite,Pending
1212,2024-02-26,2579,Walnuts,Nuts,364.82,3.99,1455.63,GCash,Manila,Delivered
1213,2024-04-26,2393,Dates,Nuts,370.58,3.25,1204.38,Cash on Delivery,Laguna,Pending
1214,2024-01-06,2066,Cashews,Dried Fruits,1148.11,4.36,5005.76,Credit Card,Cavite,Cancelled
1215,2024-01-28,2232,Almonds,Dried Fruits,645.25,3.53,2277.73,Credit Card,Manila,Cancelled
1216,2024-01-28,2108,Walnuts,Nuts,988.8,2.34,2313.79,Cash on Delivery,Quezon City,Delivered
1217,2024-04-17,2145,Dried Mango,Dried Fruits,839.61,4.49,3769.85,Cash on Delivery,Laguna,Delivered
1218,2024-02-13,2110,Dried Mango,Dried Fruits,876.43,1.5,1314.64,Credit Card,Quezon City,Pending
1219,2024-03-24,2227,Cashews,Dried Fruits,331.69,3.72,1233.89,Cash on Delivery,Manila,Pending
1220,2024-01-30,2110,Cashews,Nuts,434.18,4.47,1940.78,Credit Card,Quezon City,Cancelled
1221,2024-03-02,2469,Dried Apricot,Dried Fruits,986.75,3.79,3739.78,Credit Card,Manila,Pending
1222,2024-03-15,2033,Walnuts,Nuts,1170.77,3.64,4261.6,GCash,Manila,Delivered
1223,2024-04-28,2622,Dates,Dried Fruits,462.68,3.89,1799.83,GCash,Quezon City,Delivered
1224,2024-04-01,2775,Pistachios,Nuts,471.57,2.59,1221.37,Credit Card,Manila,Delivered
1225,2024-03-29,2935,Dried Mango,Nuts,672.9,4.43,2980.95,Credit Card,Cavite,Delivered
1226,2024-04-12,2368,Dried Mango,Dried Fruits,1183.84,1.42,1681.05,Credit Card,Manila,Delivered
1227,2024-03-02,2747,Cashews,Dried Fruits,468.96,1.07,501.79,Credit Card,Batangas,Cancelled
1228,2024-04-06,2594,Raisins,Nuts,606.97,1.78,1080.41,Credit Card,Manila,Cancelled
1229,2024-01-01,2553,Cashews,Dried Fruits,1091.48,2.89,3154.38,Credit Card,Batangas,Delivered
1230,2024-01-27,2424,Pistachios,Dried Fruits,202.92,2.8,568.18,Cash on Delivery,Manila,Pending
1231,2024-03-02,2612,Dates,Dried Fruits,239.77,4.19,1004.64,Credit Card,Manila,Delivered
1232,2024-04-25,2517,Dates,Nuts,804.07,2.32,1865.44,Cash on Delivery,Quezon City,Cancelled
1233,2024-03-17,2691,Raisins,Nuts,1107.38,2.68,2967.78,Cash on Delivery,Cavite,Delivered
1234,2024-04-14,2281,Dried Mango,Dried Fruits,438.86,0.56,245.76,Credit Card,Cavite,Cancelled
1235,2024-01-03,2319,Cashews,Dried Fruits,669.64,2.34,1566.96,Credit Card,Laguna,Cancelled
1236,2024-04-12,2737,Dried Apricot,Dried Fruits,650.47,3.41,2218.1,Cash on Delivery,Quezon City,Delivered
1237,2024-03-10,2442,Dates,Nuts,672.97,0.57,383.59,Cash on Delivery,Quezon City,Delivered
1238,2024-03-12,2951,Pistachios,Nuts,822.52,1.76,1447.64,Credit Card,Cavite,Pending
1239,2024-01-27,2314,Walnuts,Dried Fruits,669.74,1.44,964.43,Credit Card,Quezon City,Cancelled
1240,2024-01-09,2876,Almonds,Dried Fruits,647.47,0.69,446.75,Cash on Delivery,Cavite,Pending
1241,2024-03-02,2965,Almonds,Dried Fruits,674.29,2.66,1793.61,Cash on Delivery,Quezon City,Delivered
1242,2024-02-06,2740,Almonds,Dried Fruits,790.87,1.32,1043.95,Cash on Delivery,Manila,Cancelled
1243,2024-04-06,2376,Dried Apricot,Dried Fruits,737.01,3.84,2830.12,GCash,Cavite,Pending
1244,2024-02-20,2288,Dried Mango,Dried Fruits,1054.14,4.32,4553.88,Cash on Delivery,Cavite,Pending
1245,2024-04-15,2436,Cashews,Nuts,249.5,2.96,738.52,GCash,Batangas,Pending
1246,2024-02-13,2661,Raisins,Dried Fruits,1033.32,4.92,5083.93,Credit Card,Quezon City,Delivered
1247,2024-01-24,2276,Dried Apricot,Nuts,1043.92,2.53,2641.12,Credit Card,Quezon City,Delivered
1248,2024-03-19,2709,Dried Apricot,Dried Fruits,484.91,2.81,1362.6,Cash on Delivery,Cavite,Delivered
1249,2024-02-28,2581,Dates,Dried Fruits,662.85,4.95,3281.11,Credit Card,Manila,Cancelled
1250,2024-04-27,2502,Walnuts,Nuts,638.54,1.54,983.35,Credit Card,Manila,Delivered
1251,2024-02-01,2623,Dried Apricot,Nuts,418.51,4.74,1983.74,Credit Card,Manila,Cancelled
1252,2024-04-05,2515,Pistachios,Nuts,596.8,0.69,411.79,Credit Card,Quezon City,Pending
1253,2024-03-28,2349,Walnuts,Nuts,244.39,2.51,613.42,GCash,Batangas,Pending
1254,2024-04-14,2842,Pistachios,Dried Fruits,477.82,0.82,391.81,GCash,Cavite,Delivered
