Fruit_Type,Supplier_Region,Packaging_Type,Customer_Type,Shipping_Method,Payment_Method,Quality_Grade,Quantity_KG,Unit_Price,Total_Revenue,Order_Date,Delivery_Date
Banana,Visayas,Jar,Online,Sea Cargo,Credit Card,Grade B,166.64,201.59,131155.67,2025-07-26,2025-08-05
Coconut,Luzon,Box,Online,Air Freight,Bank Transfer,Grade A,172.27,225.5,112628.92,2025-06-17,2025-06-25
Pineapple,Visayas,Resealable Bag,Wholesale,Air Freight,Credit Card,Grade B,198.9,273.76,21830.49,2024-05-21,2024-05-24
Guava,Mindanao,Vacuum Pack,Online,Pickup,Cash,Grade B,184.38,248.7,179411.89,2025-03-06,2025-03-13
Coconut,Mindanao,Resealable Bag,Online,Sea Cargo,Bank Transfer,Grade B,268.54,248.32,137085.99,2025-03-05,2025-03-14
Pineapple,Visayas,Resealable Bag,Retail,Pickup,Cash,Grade A,339.24,164.78,97722.7,2025-02-18,2025-03-02
Papaya,Visayas,Resealable Bag,Online,Courier,Bank Transfer,Grade B,175.22,433.9,90097.32,2024-02-21,2024-02-26
Mango,Mindanao,Vacuum Pack,Distributor,Sea Cargo,Cash,Premium,68.12,130.24,56983.83,2024-03-24,2024-04-01
Pineapple,Luzon,Resealable Bag,Online,Air Freight,GCash,Grade B,364.76,373.08,41879.94,2024-01-21,2024-01-31
Coconut,Luzon,Resealable Bag,Distributor,Air Freight,Cash,Grade B,309.11,419.65,81308.32,2025-09-13,2025-09-25
Jackfruit,Mindanao,Resealable Bag,Retail,Courier,Cash,Premium,402.19,234.58,91391.82,2024-07-22,2024-07-24
Jackfruit,Mindanao,Box,Retail,Pickup,Credit Card,Grade A,245.09,239.52,179399.25,2025-01-14,2025-01-16
Pineapple,Visayas,Resealable Bag,Distributor,Pickup,Credit Card,Grade B,421.58,315.52,71237.87,2025-04-15,2025-04-27
Mango,Visayas,Jar,Wholesale,Pickup,Credit Card,Grade B,62.91,400.81,44549.57,2024-09-08,2024-09-22
Guava,Visayas,Box,Distributor,Courier,Cash,Premium,476.63,148.25,146814.19,2024-08-05,2024-08-11
Guava,Luzon,Jar,Online,Pickup,Cash,Grade A,182.41,253.45,56227.98,2025-05-15,2025-05-24
Banana,Visayas,Box,Online,Courier,Bank Transfer,Premium,254.19,221.19,53802.23,2025-11-10,2025-11-20
Mango,Mindanao,Resealable Bag,Wholesale,Sea Cargo,Credit Card,Grade B,376.06,442.28,109681.01,2024-07-16,2024-07-22
Guava,Luzon,Box,Wholesale,Courier,GCash,Grade B,56.37,296.26,62119.15,2024-10-16,2024-10-18
Banana,Mindanao,Resealable Bag,Online,Air Freight,Cash,Premium,177.95,277.98,74734.13,2024-02-25,2024-03-05
Guava,Visayas,Vacuum Pack,Retail,Pickup,Credit Card,Grade A,309.66,346.53,38828.13,2024-02-22,2024-02-27
Mango,Luzon,Vacuum Pack,Online,Sea Cargo,Credit Card,Grade B,458.83,218.13,121819.78,2025-07-30,2025-08-04
Jackfruit,Mindanao,Vacuum Pack,Retail,Sea Cargo,GCash,Grade B,347.19,171.83,43024.57,2025-03-15,2025-03-20
Mango,Visayas,Jar,Online,Courier,Cash,Grade A,179.65,213.3,173325.28,2024-03-17,2024-03-20
Pineapple,Visayas,Resealable Bag,Online,Air Freight,GCash,Premium,117.05,207.66,37024.89,2024-03-13,2024-03-24
Guava,Visayas,Box,Online,Air Freight,Credit Card,Premium,186.84,252.83,61726.78,2024-03-02,2024-03-05
Papaya,Luzon,Vacuum Pack,Online,Courier,Bank Transfer,Grade A,91.1,437.43,168832.14,2025-07-06,2025-07-14
Mango,Mindanao,Box,Retail,Sea Cargo,Credit Card,Premium,343.18,422.3,44482.94,2025-08-12,2025-08-22
Coconut,Visayas,Vacuum Pack,Online,Courier,Credit Card,Grade B,194.48,154.52,40556.72,2025-08-22,2025-08-29
Papaya,Visayas,Jar,Retail,Pickup,Cash,Grade B,163.58,158.25,156784.11,2025-02-25,2025-03-09
Mango,Mindanao,Jar,Online,Air Freight,GCash,Premium,212.8,369.63,128827.66,2025-06-10,2025-06-24
Banana,Mindanao,Resealable Bag,Distributor,Pickup,Credit Card,Grade A,62.99,327.91,161869.61,2024-02-22,2024-02-26
Banana,Mindanao,Vacuum Pack,Online,Air Freight,GCash,Grade A,257.65,158.76,168107.2,2025-12-27,2025-12-30
Banana,Mindanao,Box,Online,Pickup,Credit Card,Grade A,255.55,167.73,46215.97,2025-05-25,2025-06-06
Coconut,Luzon,Vacuum Pack,Distributor,Pickup,Bank Transfer,Premium,170.23,120.85,147949.69,2025-09-05,2025-09-14
Coconut,Visayas,Resealable Bag,Online,Pickup,Bank Transfer,Grade B,298.36,299.33,96515.48,2025-08-24,2025-09-03
Pineapple,Mindanao,Resealable Bag,Online,Sea Cargo,Credit Card,Grade A,193.18,276.08,183551.73,2024-11-25,2024-12-09
Coconut,Mindanao,Resealable Bag,Online,Air Freight,GCash,Premium,484.41,229.56,29069.27,2025-01-25,2025-02-01
Jackfruit,Visayas,Vacuum Pack,Wholesale,Pickup,GCash,Grade A,261.27,439.84,74326.63,2025-03-26,2025-03-28
Coconut,Luzon,Box,Online,Courier,Credit Card,Premium,66.15,142.58,129920.59,2025-12-10,2025-12-17
Coconut,Luzon,Jar,Retail,Air Freight,Credit Card,Grade A,362.3,418.13,18738.28,2024-10-21,2024-10-25
Banana,Visayas,Jar,Wholesale,Sea Cargo,Credit Card,Premium,356.81,179.42,43263.18,2024-02-27,2024-03-03
Papaya,Mindanao,Resealable Bag,Online,Sea Cargo,GCash,Grade B,337.06,271.66,136699.74,2025-09-16,2025-09-30
Coconut,Mindanao,Resealable Bag,Retail,Pickup,Bank Transfer,Premium,184.62,437.47,141159.57,2025-04-21,2025-04-26
Banana,Luzon,Jar,Online,Air Freight,GCash,Grade B,307.37,309.69,198611.49,2025-04-12,2025-04-26
Guava,Mindanao,Jar,Distributor,Air Freight,Cash,Premium,385.33,394.84,181557.63,2024-10-29,2024-10-30
Guava,Visayas,Resealable Bag,Wholesale,Courier,GCash,Premium,93.72,327.06,17490.29,2024-08-23,2024-09-02
Jackfruit,Visayas,Resealable Bag,Retail,Courier,Bank Transfer,Premium,236.98,186.26,159437.43,2025-03-27,2025-03-28
Jackfruit,Visayas,Resealable Bag,Distributor,Pickup,Bank Transfer,Premium,441.68,385.4,98982.96,2025-01-09,2025-01-18
Guava,Luzon,Jar,Distributor,Air Freight,Credit Card,Grade A,169.01,160.78,80031.28,2024-03-18,2024-03-21
Jackfruit,Visayas,Box,Retail,Sea Cargo,Credit Card,Grade A,328.8,431.25,72321.19,2025-11-19,2025-11-24
Coconut,Luzon,Jar,Distributor,Pickup,Cash,Grade A,70.41,132.28,199226.2,2025-09-16,2025-09-20
Pineapple,Mindanao,Resealable Bag,Online,Pickup,Bank Transfer,Premium,477.22,349.84,112636.57,2024-04-28,2024-04-30
Coconut,Luzon,Jar,Retail,Pickup,Credit Card,Grade B,64.72,242.27,94242.79,2025-08-24,2025-09-05
Banana,Luzon,Box,Distributor,Air Freight,Credit Card,Grade B,135.41,160.31,171126.31,2024-08-29,2024-09-12
Coconut,Luzon,Vacuum Pack,Retail,Courier,GCash,Grade A,404.14,187.72,167665.39,2025-04-10,2025-04-12
Jackfruit,Luzon,Resealable Bag,Distributor,Sea Cargo,Cash,Grade B,436.28,167.75,34698.5,2025-07-21,2025-07-25
Pineapple,Luzon,Vacuum Pack,Wholesale,Air Freight,Bank Transfer,Grade A,314.98,125.21,60419.83,2024-09-13,2024-09-26
Papaya,Mindanao,Vacuum Pack,Retail,Pickup,Credit Card,Grade B,280.96,155.99,105729.35,2024-05-09,2024-05-21
Coconut,Mindanao,Box,Online,Air Freight,Cash,Grade B,431.28,260.67,30512.75,2025-09-21,2025-09-22
Mango,Luzon,Box,Wholesale,Air Freight,GCash,Grade B,330.94,313.17,145309.03,2025-12-30,2026-01-07
Jackfruit,Visayas,Jar,Online,Air Freight,Cash,Premium,342.91,373.76,146959.58,2025-01-25,2025-02-04
Papaya,Luzon,Jar,Distributor,Pickup,Credit Card,Grade B,378.33,223.14,69379.48,2024-08-08,2024-08-15
Pineapple,Mindanao,Jar,Retail,Air Freight,Cash,Grade A,244.34,365.71,80802.9,2024-09-18,2024-09-24
Mango,Mindanao,Box,Retail,Pickup,Bank Transfer,Premium,473.51,259.57,184010.3,2024-05-13,2024-05-22
Jackfruit,Visayas,Box,Retail,Sea Cargo,GCash,Premium,266.99,399.6,76521.66,2024-02-22,2024-02-27
Mango,Visayas,Resealable Bag,Online,Air Freight,Bank Transfer,Grade A,131.19,351.89,68707.09,2025-07-23,2025-07-29
Mango,Luzon,Resealable Bag,Online,Air Freight,GCash,Premium,334.93,130.12,151761.23,2024-12-13,2024-12-19
Papaya,Visayas,Box,Wholesale,Courier,Bank Transfer,Premium,195.97,430.66,123282.52,2024-08-08,2024-08-15
Pineapple,Mindanao,Vacuum Pack,Retail,Courier,Credit Card,Premium,240.81,320.34,88694.91,2024-02-23,2024-02-26
Jackfruit,Luzon,Box,Online,Air Freight,Bank Transfer,Premium,355.32,280.59,136755.19,2024-08-08,2024-08-21
Papaya,Mindanao,Vacuum Pack,Retail,Sea Cargo,Bank Transfer,Grade A,395.31,372.17,64994.95,2024-02-16,2024-02-20
Papaya,Mindanao,Jar,Wholesale,Sea Cargo,Credit Card,Premium,366.65,285.09,168337.3,2024-05-02,2024-05-03
Papaya,Mindanao,Vacuum Pack,Online,Air Freight,Credit Card,Grade A,437.95,310.0,118945.94,2024-12-28,2024-12-30
Papaya,Visayas,Vacuum Pack,Online,Air Freight,Bank Transfer,Grade A,410.59,323.98,168084.92,2025-12-27,2026-01-07
Papaya,Luzon,Resealable Bag,Online,Pickup,Cash,Grade B,441.74,366.12,52098.69,2025-01-05,2025-01-07
Jackfruit,Mindanao,Vacuum Pack,Wholesale,Courier,Bank Transfer,Premium,481.2,333.0,38061.07,2024-06-21,2024-06-23
Banana,Luzon,Resealable Bag,Wholesale,Air Freight,GCash,Premium,272.35,368.97,154376.66,2024-04-15,2024-04-18
Jackfruit,Mindanao,Box,Distributor,Sea Cargo,Credit Card,Grade A,261.01,328.36,161302.64,2025-04-04,2025-04-15
Banana,Mindanao,Vacuum Pack,Distributor,Pickup,Credit Card,Grade A,75.6,394.46,24578.89,2025-08-28,2025-08-29
Jackfruit,Mindanao,Jar,Online,Air Freight,Credit Card,Premium,343.33,226.1,100369.52,2024-04-02,2024-04-12
Papaya,Luzon,Box,Retail,Sea Cargo,Cash,Grade A,368.43,447.03,109573.03,2024-06-03,2024-06-04
Banana,Visayas,Box,Online,Pickup,Bank Transfer,Premium,319.05,380.44,132988.02,2025-09-16,2025-09-19
Mango,Mindanao,Jar,Distributor,Courier,GCash,Grade B,86.68,338.99,184181.83,2024-03-08,2024-03-14
Coconut,Mindanao,Jar,Wholesale,Air Freight,Bank Transfer,Premium,219.51,381.25,164505.11,2024-11-13,2024-11-24
Guava,Mindanao,Vacuum Pack,Online,Courier,Cash,Grade B,188.99,433.89,74929.15,2025-11-17,2025-11-29
Pineapple,Luzon,Resealable Bag,Retail,Courier,Cash,Premium,396.89,395.59,177899.61,2025-05-12,2025-05-16
Banana,Mindanao,Resealable Bag,Online,Sea Cargo,GCash,Grade A,424.11,374.46,163718.31,2024-02-08,2024-02-19
Papaya,Luzon,Jar,Distributor,Sea Cargo,Credit Card,Premium,178.22,367.02,95296.31,2024-06-18,2024-06-30
Banana,Visayas,Resealable Bag,Distributor,Pickup,Credit Card,Grade B,400.16,285.96,89545.56,2025-06-30,2025-07-04
Pineapple,Mindanao,Resealable Bag,Distributor,Air Freight,Credit Card,Grade B,299.54,153.85,170719.53,2024-06-14,2024-06-28
Mango,Luzon,Box,Online,Sea Cargo,Credit Card,Grade A,475.89,193.27,95714.32,2024-05-07,2024-05-12
Papaya,Luzon,Jar,Distributor,Sea Cargo,Credit Card,Grade A,218.71,129.3,186856.92,2024-12-23,2024-12-24
Guava,Luzon,Resealable Bag,Retail,Courier,Credit Card,Premium,424.0,370.42,99130.92,2025-10-27,2025-11-02
Mango,Luzon,Box,Wholesale,Sea Cargo,Credit Card,Grade A,399.28,198.42,33151.19,2025-09-22,2025-09-23
Coconut,Mindanao,Jar,Retail,Air Freight,Credit Card,Premium,291.22,328.55,119259.02,2024-09-01,2024-09-08
Papaya,Luzon,Box,Wholesale,Pickup,GCash,Premium,350.7,292.75,78514.71,2024-05-27,2024-06-01
Jackfruit,Mindanao,Vacuum Pack,Online,Pickup,Cash,Premium,224.1,243.19,151990.15,2025-06-22,2025-07-01
Mango,Visayas,Resealable Bag,Retail,Courier,GCash,Grade A,208.53,231.72,132131.17,2024-12-31,2025-01-13
Coconut,Visayas,Resealable Bag,Wholesale,Air Freight,Credit Card,Grade A,182.05,134.46,47899.27,2025-12-02,2025-12-10
Banana,Mindanao,Jar,Online,Courier,Cash,Premium,136.0,237.8,158359.9,2024-02-12,2024-02-18
Banana,Luzon,Box,Online,Pickup,Credit Card,Grade B,202.57,181.65,141493.01,2025-11-02,2025-11-08
Jackfruit,Visayas,Vacuum Pack,Online,Air Freight,Credit Card,Premium,497.79,179.55,65815.62,2025-01-11,2025-01-24
Banana,Mindanao,Box,Distributor,Pickup,Credit Card,Grade A,360.39,236.01,18047.48,2024-04-15,2024-04-17
Papaya,Visayas,Vacuum Pack,Retail,Pickup,Bank Transfer,Premium,410.49,344.21,191029.99,2024-12-27,2025-01-06
Jackfruit,Mindanao,Jar,Retail,Sea Cargo,Cash,Grade A,400.33,240.89,82742.34,2024-05-26,2024-06-09
Jackfruit,Luzon,Jar,Distributor,Courier,Credit Card,Grade A,308.26,294.72,85626.47,2025-08-03,2025-08-04
Pineapple,Luzon,Vacuum Pack,Wholesale,Pickup,Credit Card,Premium,102.99,375.74,143767.18,2025-10-27,2025-11-01
Banana,Mindanao,Jar,Wholesale,Air Freight,GCash,Grade A,253.42,416.56,94571.13,2024-08-07,2024-08-17
Coconut,Visayas,Box,Retail,Courier,Bank Transfer,Grade A,370.31,426.02,131163.0,2024-03-30,2024-04-12
Pineapple,Luzon,Resealable Bag,Wholesale,Sea Cargo,Credit Card,Grade A,212.4,308.85,98807.11,2025-01-05,2025-01-14
Jackfruit,Luzon,Vacuum Pack,Distributor,Pickup,Credit Card,Premium,234.86,255.11,119231.1,2025-07-18,2025-07-21
Coconut,Luzon,Jar,Online,Courier,GCash,Premium,337.91,180.05,193590.28,2024-05-08,2024-05-14
Guava,Luzon,Vacuum Pack,Wholesale,Courier,GCash,Grade A,195.2,354.08,75744.39,2025-03-19,2025-03-28
Guava,Luzon,Box,Wholesale,Courier,GCash,Premium,186.27,296.05,105488.9,2025-06-15,2025-06-20
Jackfruit,Luzon,Resealable Bag,Distributor,Air Freight,Cash,Grade A,70.46,331.68,119586.53,2024-06-21,2024-07-01
Guava,Mindanao,Jar,Retail,Pickup,Bank Transfer,Premium,480.49,279.37,162890.75,2025-10-28,2025-11-01
Banana,Visayas,Vacuum Pack,Retail,Sea Cargo,Credit Card,Grade B,267.91,187.33,125265.45,2025-12-02,2025-12-09
Coconut,Visayas,Box,Online,Sea Cargo,Bank Transfer,Premium,302.74,225.31,98629.79,2024-11-16,2024-11-30
Pineapple,Luzon,Vacuum Pack,Retail,Courier,Credit Card,Premium,238.16,437.69,181439.06,2024-09-30,2024-10-08
Coconut,Visayas,Resealable Bag,Wholesale,Pickup,Credit Card,Grade B,445.58,284.13,27109.33,2024-12-01,2024-12-11
Papaya,Luzon,Resealable Bag,Distributor,Air Freight,Cash,Grade B,272.7,411.17,134309.41,2025-02-06,2025-02-15
Jackfruit,Luzon,Vacuum Pack,Online,Sea Cargo,Bank Transfer,Premium,214.6,253.07,18596.05,2025-04-26,2025-05-01
Jackfruit,Luzon,Box,Distributor,Air Freight,Credit Card,Premium,252.66,301.45,166809.15,2024-02-22,2024-03-03
Jackfruit,Luzon,Resealable Bag,Retail,Pickup,Bank Transfer,Grade B,301.02,240.65,37410.8,2025-09-30,2025-10-11
Papaya,Mindanao,Vacuum Pack,Retail,Air Freight,GCash,Premium,199.87,276.34,96827.83,2025-09-08,2025-09-17
Pineapple,Visayas,Box,Wholesale,Pickup,Bank Transfer,Premium,201.37,393.34,111144.57,2025-09-12,2025-09-21
Banana,Visayas,Vacuum Pack,Distributor,Courier,Cash,Grade B,312.67,382.93,147811.6,2025-12-26,2026-01-05
Mango,Mindanao,Jar,Distributor,Sea Cargo,Cash,Premium,266.2,293.0,147024.74,2025-12-05,2025-12-16
Guava,Mindanao,Resealable Bag,Retail,Air Freight,GCash,Grade A,248.47,258.2,88462.42,2025-01-24,2025-01-27
Jackfruit,Mindanao,Jar,Retail,Sea Cargo,GCash,Premium,196.27,338.53,109840.66,2024-07-27,2024-08-03
Papaya,Mindanao,Box,Distributor,Courier,Credit Card,Grade A,480.8,212.07,66714.84,2024-11-17,2024-11-20
Banana,Mindanao,Resealable Bag,Online,Courier,Credit Card,Grade B,302.22,428.38,147116.23,2024-10-31,2024-11-13
Jackfruit,Mindanao,Jar,Online,Courier,GCash,Grade B,68.93,435.25,25015.59,2024-10-21,2024-10-23
Banana,Mindanao,Jar,Wholesale,Sea Cargo,Bank Transfer,Premium,363.28,165.3,126978.64,2025-03-28,2025-04-08
Pineapple,Luzon,Resealable Bag,Wholesale,Air Freight,Cash,Grade B,198.63,275.89,139426.48,2025-08-23,2025-08-27
Jackfruit,Luzon,Jar,Online,Pickup,GCash,Grade B,194.53,333.15,182508.02,2024-05-20,2024-05-21
Jackfruit,Luzon,Vacuum Pack,Wholesale,Pickup,GCash,Grade A,498.73,251.01,104122.94,2024-04-01,2024-04-12
Mango,Visayas,Vacuum Pack,Distributor,Courier,Credit Card,Premium,294.49,282.99,188326.5,2024-10-23,2024-10-24
Banana,Luzon,Vacuum Pack,Distributor,Sea Cargo,Credit Card,Premium,165.77,181.45,149957.4,2025-05-31,2025-06-08
Coconut,Luzon,Resealable Bag,Online,Pickup,Bank Transfer,Grade A,230.37,151.48,196520.19,2024-10-29,2024-11-08
Pineapple,Luzon,Box,Online,Sea Cargo,Credit Card,Grade B,479.32,219.64,147347.68,2025-05-03,2025-05-09
Coconut,Visayas,Resealable Bag,Retail,Air Freight,Credit Card,Grade B,121.87,346.4,185390.14,2024-01-12,2024-01-17
Banana,Mindanao,Vacuum Pack,Distributor,Courier,GCash,Grade A,480.81,277.8,96445.95,2025-12-21,2026-01-03
Papaya,Mindanao,Jar,Wholesale,Sea Cargo,Cash,Premium,251.04,352.24,24839.52,2025-09-12,2025-09-18
Mango,Mindanao,Resealable Bag,Wholesale,Sea Cargo,Bank Transfer,Premium,248.83,344.5,146214.41,2025-07-31,2025-08-02
Jackfruit,Visayas,Vacuum Pack,Online,Sea Cargo,Credit Card,Grade B,303.76,304.4,137825.87,2025-05-15,2025-05-17
Mango,Visayas,Box,Retail,Sea Cargo,Cash,Grade A,240.66,351.13,112821.07,2024-11-11,2024-11-23
Papaya,Luzon,Box,Online,Sea Cargo,GCash,Premium,490.25,333.14,89868.77,2024-03-02,2024-03-04
Guava,Visayas,Jar,Retail,Sea Cargo,Bank Transfer,Grade A,130.31,297.3,110480.08,2025-01-26,2025-02-03
Mango,Luzon,Box,Online,Pickup,Credit Card,Grade A,161.38,234.23,62373.45,2024-08-16,2024-08-30
Guava,Mindanao,Jar,Retail,Sea Cargo,GCash,Grade A,95.4,131.08,123579.13,2024-04-25,2024-04-26
Mango,Luzon,Vacuum Pack,Online,Pickup,GCash,Premium,147.77,405.03,20724.37,2025-12-21,2026-01-04
Pineapple,Mindanao,Box,Distributor,Sea Cargo,Bank Transfer,Grade A,493.56,292.01,88576.44,2025-05-30,2025-06-04
Jackfruit,Mindanao,Resealable Bag,Online,Pickup,Cash,Grade B,473.71,341.54,159302.87,2024-10-08,2024-10-09
Papaya,Visayas,Resealable Bag,Distributor,Pickup,GCash,Premium,263.08,400.28,67139.92,2024-11-22,2024-12-04
Guava,Visayas,Vacuum Pack,Online,Pickup,GCash,Grade B,159.29,187.1,132874.11,2025-12-25,2025-12-28
Banana,Luzon,Resealable Bag,Retail,Courier,Credit Card,Premium,322.24,133.05,23829.02,2025-04-05,2025-04-19
Coconut,Mindanao,Resealable Bag,Online,Sea Cargo,Bank Transfer,Grade B,480.66,125.06,188060.36,2025-08-24,2025-09-05
Guava,Visayas,Resealable Bag,Wholesale,Pickup,GCash,Premium,194.73,213.41,98587.59,2024-04-30,2024-05-12
Banana,Visayas,Box,Online,Pickup,Cash,Premium,261.27,397.11,183722.79,2025-10-26,2025-11-01
Papaya,Luzon,Resealable Bag,Wholesale,Air Freight,Bank Transfer,Premium,470.64,311.12,89339.83,2025-01-14,2025-01-20
Banana,Luzon,Jar,Wholesale,Pickup,Bank Transfer,Grade B,393.51,281.24,147476.01,2024-06-05,2024-06-09
Pineapple,Mindanao,Box,Wholesale,Sea Cargo,Credit Card,Grade A,462.6,298.91,131943.8,2025-05-17,2025-05-25
Mango,Luzon,Vacuum Pack,Retail,Pickup,GCash,Premium,154.15,353.37,11736.88,2024-03-01,2024-03-10
Banana,Luzon,Jar,Online,Air Freight,Cash,Premium,298.24,123.91,110589.35,2025-06-01,2025-06-09
Banana,Luzon,Jar,Wholesale,Air Freight,Cash,Premium,117.0,183.34,110026.64,2024-10-08,2024-10-17
Guava,Visayas,Vacuum Pack,Distributor,Pickup,Credit Card,Premium,159.44,350.09,66995.18,2024-12-28,2025-01-02
Guava,Mindanao,Vacuum Pack,Retail,Pickup,Credit Card,Grade B,298.72,138.52,11795.53,2024-03-23,2024-04-03
Papaya,Visayas,Box,Retail,Air Freight,GCash,Grade A,455.57,348.45,117688.99,2024-06-24,2024-06-26
Mango,Mindanao,Box,Retail,Sea Cargo,Bank Transfer,Grade A,482.66,313.72,152928.35,2024-10-04,2024-10-05
Papaya,Luzon,Box,Wholesale,Sea Cargo,Credit Card,Premium,453.44,229.47,153565.76,2025-12-30,2026-01-13
